Countries,"International tourism, expenditures for passenger transport items (current US$)","International tourism, expenditures (% of total imports)","International tourism, expenditures (current US$)","International tourism, expenditures for travel items (current US$)","International tourism, number of arrivals","International tourism, number of departures","International tourism, receipts (% of total exports)","International tourism, receipts (current US$)","International tourism, receipts for passenger transport items (current US$)","International tourism, receipts for travel items (current US$)",GDP (current US$),Exports of goods and services (% of GDP)
Africa Western and Central,6881574375,11.3,21291654470,14469351666,..,..,4.7,7230774394,632588775.5,6596820217,7.41692E+11,22.5
Arab World,..,9.8,94712413500,1.00176E+11,131892640.9,..,9.4,1.19513E+11,..,..,2.73078E+12,47.2
Caribbean small states,653907989.8,5.7,1750798337,1263581432,19669834.9,..,33.3,..,310624573.9,11581000000,75312833438,..
Central Europe and the Baltics,3217088043,3.8,37121209259,34993000000,301502122.5,128530000,6.3,64718122569,7368990308,57856000000,1.64533E+12,64.3
Early-demographic dividend,35482399897,5.2,1.86955E+11,1.41647E+11,350576700.2,309760109.9,8.5,2.44162E+11,37140379380,2.07649E+11,1.12148E+13,26.3
East Asia &amp; Pacific,..,..,..,5.16962E+11,480202482.1,402010474.2,..,..,..,3.89697E+11,2.64163E+13,29.2
East Asia &amp; Pacific (excluding high income),..,..,..,3.50946E+11,281129641,202247515.9,..,..,..,1.58546E+11,1.6575E+13,23.4
East Asia &amp; Pacific (IDA &amp; IBRD countries),..,..,..,3.50193E+11,277743234.6,199745794.7,..,..,..,1.58444E+11,1.65539E+13,23.4
Euro area,42241335987,5.3,3.24974E+11,2.86531E+11,638607601.6,338485601.6,5.4,3.56076E+11,59668159877,3.59141E+11,1.36922E+13,48
Europe &amp; Central Asia,66378760224,5.6,5.45834E+11,5.10909E+11,1157868195,729507921.2,5.7,5.84532E+11,1.05185E+11,5.59293E+11,2.32173E+13,45
Europe &amp; Central Asia (excluding high income),9724420726,7.6,79423074238,69698653511,169084765.5,165722068,7.5,89044934208,23331723783,65713210430,3.42399E+12,34.7
Europe &amp; Central Asia (IDA &amp; IBRD countries),10634091895,6.6,91384400507,80750308611,314784745.5,218948144.6,7.5,1.15984E+11,25209854289,90774176361,4.07365E+12,37.9
European Union,46967957308,5.2,3.75317E+11,3.39754E+11,938485601.6,461906449.3,5.5,4.31696E+11,69462494172,4.25399E+11,1.59715E+13,49.2
Fragile and conflict affected situations,8216906279,11.2,47653655921,39258866648,..,..,8.6,..,4047051585,..,1.57283E+12,25.7
Heavily indebted poor countries (HIPC),5242305594,4.8,11938931651,7685501336,29458451,..,11.2,19734803845,4902991668,14925233626,7.68422E+11,23.7
High income,1.65354E+11,5.6,9.50125E+11,8.52765E+11,1491870217,1016965040,6.6,1.14799E+12,1.80026E+11,1.03633E+12,5.45575E+13,32
IBRD only,..,..,4.34665E+11,5.40187E+11,823988846.5,606878384.5,..,..,..,4.07644E+11,3.04789E+13,25.5
IDA &amp; IBRD total,..,5.8,4.76261E+11,5.67448E+11,939010263,799318916.1,..,..,..,4.42557E+11,3.26238E+13,25.1
IDA blend,6530976050,10.8,24345076315,16096771543,..,..,7,10652993523,1858271609,8725019225,9.66188E+11,15.9
IDA only,6148427536,4.3,16440068108,11076618033,58328493.7,..,11.9,32347248555,5543501252,26222928201,1.17994E+12,22.4
IDA total,12909646555,6.6,40201044516,27348466315,93089667.6,..,10,42040713818,7137330146,34727976286,2.14613E+12,19.5
Late-demographic dividend,..,..,..,4.82953E+11,532235103.2,393163875.6,..,..,..,2.71997E+11,2.2532E+13,29
Latin America &amp; Caribbean,17177861169,5.8,80791735174,63553929575,201522429.4,147336636.6,7.5,1.01815E+11,9954534482,98983095473,5.70388E+12,24.1
